name;amaya-runtime;amaya-result;lash-runtime;lash-result;princess-runtime;princess-result;z3-runtime;z3-result;cvc5-runtime;cvc5-result
../formulae/frobenius/smt2/fcp_2_3.smt2;0.18;  sat;0.01; sat;2.24; sat;0.02; sat;0.09; sat
../formulae/frobenius/smt2/fcp_3_5.smt2;0.18;  sat;0.01; sat;2.8; sat;0.07; sat;TO;TO
../formulae/frobenius/smt2/fcp_5_7.smt2;0.18;  sat;0.01; sat;4.05; sat;9.07; sat;TO;TO
../formulae/frobenius/smt2/fcp_7_11.smt2;0.19;  sat;0.02; sat;5.11; sat;1.28; sat;TO;TO
../formulae/frobenius/smt2/fcp_11_13.smt2;0.17;  sat;0.03; sat;8.13; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_13_17.smt2;0.17;  sat;0.04; sat;10.18; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_17_19.smt2;0.23;  sat;0.06; sat;13.74; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_19_23.smt2;0.24;  sat;0.1; sat;15.75; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_23_29.smt2;0.23;  sat;0.18; sat;18.44; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_29_31.smt2;0.29;  sat;0.22; sat;23.96; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_31_37.smt2;0.29;  sat;0.34; sat;23.52; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_37_41.smt2;0.42;  sat;0.48; sat;28.63; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_41_43.smt2;0.39;  sat;0.48; sat;30.68; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_43_47.smt2;0.5;  sat;0.7; sat;32.25; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_47_53.smt2;0.55;  sat;1.1; sat;35.27; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_53_59.smt2;0.79;  sat;1.6; sat;38.86; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_59_61.smt2;0.91;  sat;1.17; sat;45.28; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_61_67.smt2;0.61;  sat;2.24; sat;44.2; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_67_71.smt2;1.65;  sat;2.19; sat;51.93; sat;TO;TO;TO;TO
../formulae/frobenius/smt2/fcp_71_73.smt2;1.63;  sat;2.12; sat;58.99; sat;TO;TO;TO;TO
