name;amaya-old-runtime;amaya-old-result;amaya-new-runtime;amaya-new-result;z3-runtime;z3-result;cvc5-runtime;cvc5-result;princess-runtime;princess-result;lash-runtime;lash-result;yices-runtime;yices-result;amaya-improved-result;amaya-improved-runtime
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_0.smt2;0.6;  unsat;0.23;  unsat;0.0; unsat;0.04; unsat;7.0; unsat;0.93; sat;TO;TO;  unsat;0.2
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_1.smt2;0.81;  unsat;0.28;  unsat;0.01; unsat;0.06; unsat;7.01; unsat;0.9; sat;TO;TO;  unsat;0.22
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_10.smt2;0.37;  unsat;0.19;  unsat;0.01; unsat;0.02; unsat;1.89; unsat;0.66; sat;TO;TO;  unsat;0.18
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_11.smt2;0.44;  unsat;0.21;  unsat;0.0; unsat;0.04; unsat;3.07; unsat;0.64; sat;TO;TO;  unsat;0.19
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_12.smt2;0.48;  unsat;0.26;  unsat;0.0; unsat;0.04; unsat;1.76; unsat;0.63; sat;TO;TO;  unsat;0.19
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_13.smt2;0.63;  unsat;0.28;  unsat;0.01; unsat;0.04; unsat;1.61; unsat;0.63; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_14.smt2;0.49;  unsat;0.22;  unsat;0.01; unsat;0.05; unsat;1.62; unsat;0.62; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_15.smt2;0.38;  unsat;0.25;  unsat;0.01; unsat;0.03; unsat;1.73; unsat;0.62; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_16.smt2;0.38;  unsat;0.21;  unsat;0.01; unsat;0.03; unsat;3.47; unsat;0.77; sat;TO;TO;  unsat;0.18
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_18.smt2;0.47;  unsat;0.27;  unsat;0.0; unsat;0.03; unsat;3.41; unsat;0.4; sat;0.0; unsat;  unsat;0.2
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_19.smt2;0.37;  unsat;0.23;  unsat;0.01; unsat;0.02; unsat;2.67; unsat;0.72; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_2.smt2;0.74;  unsat;0.27;  unsat;0.0; unsat;0.04; unsat;2.61; unsat;0.9; sat;TO;TO;  unsat;0.19
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_20.smt2;0.62;  unsat;0.26;  unsat;0.01; unsat;0.04; unsat;2.77; unsat;0.73; sat;TO;TO;  unsat;0.19
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_21.smt2;0.48;  unsat;0.23;  unsat;0.0; unsat;0.04; unsat;1.86; unsat;0.72; sat;TO;TO;  unsat;0.16
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_22.smt2;0.41;  unsat;0.23;  unsat;0.0; unsat;0.02; unsat;2.85; unsat;0.74; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_23.smt2;0.46;  unsat;0.22;  unsat;0.0; unsat;0.03; unsat;1.69; unsat;0.74; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_24.smt2;0.59;  unsat;0.24;  unsat;0.01; unsat;0.03; unsat;1.76; unsat;0.76; sat;TO;TO;  unsat;0.18
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_25.smt2;0.49;  unsat;0.26;  unsat;0.01; unsat;0.05; unsat;1.66; unsat;0.7; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_26.smt2;0.41;  unsat;0.26;  unsat;0.01; unsat;0.03; unsat;1.71; unsat;0.73; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_27.smt2;0.4;  unsat;0.22;  unsat;0.0; unsat;0.04; unsat;3.14; unsat;0.71; sat;TO;TO;  unsat;0.16
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_28.smt2;0.62;  unsat;0.22;  unsat;0.01; unsat;0.03; unsat;3.49; unsat;0.74; sat;TO;TO;  unsat;0.18
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_29.smt2;0.4;  unsat;0.27;  unsat;0.0; unsat;0.03; unsat;2.06; unsat;0.71; sat;0.01; unsat;  unsat;0.18
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_3.smt2;0.76;  unsat;0.26;  unsat;0.01; unsat;0.04; unsat;6.58; unsat;0.92; sat;TO;TO;  unsat;0.21
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_30.smt2;0.49;  unsat;0.25;  unsat;0.0; unsat;0.04; unsat;3.62; unsat;0.72; sat;TO;TO;  unsat;0.16
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_31.smt2;0.42;  unsat;0.23;  unsat;0.01; unsat;0.04; unsat;2.15; unsat;0.72; sat;0.01; unsat;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_32.smt2;0.64;  unsat;0.27;  unsat;0.0; unsat;0.04; unsat;1.93; unsat;0.7; sat;0.01; unsat;  unsat;0.16
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_33.smt2;0.54;  unsat;0.3;  unsat;0.01; unsat;0.04; unsat;1.78; unsat;0.75; sat;0.0; unsat;  unsat;0.19
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_34.smt2;0.49;  unsat;0.27;  unsat;0.0; unsat;0.02; unsat;1.95; unsat;0.7; sat;0.02; unsat;  unsat;0.18
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_35.smt2;0.36;  unsat;0.22;  unsat;0.0; unsat;0.04; unsat;2.61; unsat;0.75; sat;TO;TO;  unsat;0.16
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_36.smt2;0.51;  unsat;0.22;  unsat;0.0; unsat;0.03; unsat;2.82; unsat;0.72; sat;TO;TO;  unsat;0.18
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_37.smt2;0.48;  unsat;0.25;  unsat;0.01; unsat;0.05; unsat;1.87; unsat;0.76; sat;TO;TO;  unsat;0.18
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_38.smt2;0.47;  unsat;0.23;  unsat;0.0; unsat;0.04; unsat;2.8; unsat;0.74; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_39.smt2;0.51;  unsat;0.23;  unsat;0.01; unsat;0.03; unsat;1.78; unsat;0.72; sat;TO;TO;  unsat;0.18
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_4.smt2;0.72;  unsat;0.33;  unsat;0.01; unsat;0.03; unsat;2.42; unsat;0.82; sat;TO;TO;  unsat;0.22
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_40.smt2;0.57;  unsat;0.25;  unsat;0.01; unsat;0.03; unsat;1.79; unsat;0.73; sat;TO;TO;  unsat;0.16
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_41.smt2;0.46;  unsat;0.22;  unsat;0.0; unsat;0.02; unsat;1.81; unsat;0.73; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_42.smt2;0.43;  unsat;0.28;  unsat;0.02; unsat;0.03; unsat;1.7; unsat;0.72; sat;TO;TO;  unsat;0.16
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_43.smt2;0.43;  unsat;0.2;  unsat;0.01; unsat;0.05; unsat;2.94; unsat;0.74; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_44.smt2;0.57;  unsat;0.21;  unsat;0.01; unsat;0.02; unsat;2.86; unsat;0.74; sat;TO;TO;  unsat;0.17
../formulae/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_45.smt2;0.37;  unsat;0.22;  unsat;0.01; unsat;0.03; unsat;1.73; unsat;0.73; sat;TO;TO;  unsat;0.16
