name;amaya-old-runtime;amaya-old-result;amaya-new-runtime;amaya-new-result;z3-runtime;z3-result;cvc5-runtime;cvc5-result;lash-runtime;lash-result;princess-result;princess-runtime;yices-runtime;yices-result;amaya-improved-runtime;amaya-improved-result
../formulae/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.smt2;0.23;  unsat;0.22;  unsat;0.01; unsat;0.01; unsat;0.02; sat; unsat;1.11;0.01; unsat;0.18;  unsat
../formulae/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.smt2;0.25;  unsat;0.21;  unsat;0.0; unsat;0.0; unsat;0.01; sat; unsat;1.12;0.01; unsat;0.18;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_127.smt2;0.22;  unsat;0.2;  unsat;0.0; unsat;0.0; unsat;ERR;ERR; unsat;1.09;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_1657.smt2;1.22;  unsat;0.2;  unsat;0.0; unsat;0.01; unsat;0.09; sat; unsat;1.06;TO;TO;0.18;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_187.smt2;0.25;  unsat;0.19;  unsat;0.0; unsat;0.01; unsat;ERR;ERR; unsat;1.14;TO;TO;0.19;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_2207.smt2;0.25;  unsat;0.24;  unsat;0.01; unsat;0.01; unsat;0.01; sat; unsat;1.03;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_2317.smt2;0.28;  unsat;0.19;  unsat;0.01; unsat;0.02; unsat;0.02; sat; unsat;1.05;TO;TO;0.18;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_237.smt2;0.23;  unsat;0.18;  unsat;0.0; unsat;0.0; unsat;0.01; sat; unsat;1.06;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_276.smt2;0.23;  unsat;0.22;  unsat;0.01; unsat;0.01; unsat;0.01; sat; unsat;1.06;TO;TO;0.16;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_297.smt2;0.26;  unsat;0.22;  unsat;0.0; unsat;0.0; unsat;0.03; sat; unsat;1.08;TO;TO;0.16;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_597.smt2;0.27;  unsat;0.21;  unsat;0.0; unsat;0.0; unsat;0.02; sat; unsat;1.14;TO;TO;0.15;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_657.smt2;0.3;  unsat;0.26;  unsat;0.0; unsat;0.02; unsat;0.02; sat; unsat;1.15;TO;TO;0.2;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_670.smt2;0.31;  unsat;0.21;  unsat;0.0; unsat;0.0; unsat;0.02; sat; unsat;1.07;TO;TO;0.18;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_671.smt2;0.29;  unsat;0.24;  unsat;0.0; unsat;0.01; unsat;0.02; sat; unsat;1.14;TO;TO;0.16;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_673.smt2;0.33;  unsat;0.26;  unsat;0.0; unsat;0.0; unsat;ERR;ERR; unsat;1.12;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_678.smt2;0.27;  unsat;0.21;  unsat;0.0; unsat;0.0; unsat;ERR;ERR; unsat;1.09;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/Primes_true-unreach-call.c_798.smt2;0.59;  unsat;0.29;  unsat;0.0; unsat;0.0; unsat;ERR;ERR; unsat;1.03;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested6_true-unreach-call.i_7.smt2;0.21;  unsat;0.19;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.11;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1070.smt2;0.28;  unsat;0.25;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.07;TO;TO;0.15;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1072.smt2;0.2;  unsat;0.21;  unsat;0.0; unsat;0.0; unsat;0.01; sat; unsat;1.06;TO;TO;0.15;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1107.smt2;0.27;  unsat;0.2;  unsat;0.0; unsat;0.0; unsat;0.01; sat; unsat;1.11;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1117.smt2;0.26;  unsat;0.22;  unsat;0.01; unsat;0.02; unsat;0.01; sat; unsat;1.08;TO;TO;0.22;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1170.smt2;0.23;  unsat;0.2;  unsat;0.0; unsat;0.0; unsat;0.01; sat; unsat;1.14;TO;TO;0.15;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1172.smt2;0.22;  unsat;0.23;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.16;TO;TO;0.23;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1307.smt2;0.24;  unsat;0.21;  unsat;0.0; unsat;0.0; unsat;0.02; sat; unsat;1.03;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1317.smt2;0.23;  unsat;0.23;  unsat;0.0; unsat;0.03; unsat;0.01; sat; unsat;1.12;TO;TO;0.16;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1337.smt2;0.24;  unsat;0.24;  unsat;0.0; unsat;0.0; unsat;0.01; sat; unsat;1.13;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1357.smt2;0.29;  unsat;0.2;  unsat;0.0; unsat;0.01; unsat;0.0; sat; unsat;1.07;TO;TO;0.18;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1370.smt2;0.19;  unsat;0.22;  unsat;0.0; unsat;0.0; unsat;0.01; sat; unsat;1.08;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1371.smt2;0.3;  unsat;0.2;  unsat;0.0; unsat;0.0; unsat;0.01; sat; unsat;1.1;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1375.smt2;0.28;  unsat;0.26;  unsat;0.0; unsat;0.02; unsat;0.01; sat; unsat;1.03;TO;TO;0.18;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1379.smt2;0.26;  unsat;0.27;  unsat;0.0; unsat;0.0; unsat;0.01; sat; unsat;1.0;TO;TO;0.18;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1427.smt2;0.28;  unsat;0.23;  unsat;0.0; unsat;0.02; unsat;0.01; sat; unsat;1.07;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1437.smt2;0.22;  unsat;0.24;  unsat;0.0; unsat;0.02; unsat;0.01; sat; unsat;1.08;TO;TO;0.2;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1471.smt2;0.28;  unsat;0.23;  unsat;0.01; unsat;0.01; unsat;0.01; sat; unsat;1.04;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1475.smt2;0.26;  unsat;0.21;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.17;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1477.smt2;0.22;  unsat;0.21;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.06;TO;TO;0.16;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1479.smt2;0.28;  unsat;0.25;  unsat;0.01; unsat;0.01; unsat;0.01; sat; unsat;0.98;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1575.smt2;0.25;  unsat;0.26;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.17;TO;TO;0.19;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1578.smt2;0.32;  unsat;0.26;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.05;TO;TO;0.18;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1597.smt2;0.22;  unsat;0.2;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.13;TO;TO;0.16;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1676.smt2;0.25;  unsat;0.24;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.1;TO;TO;0.17;  unsat
../formulae/UltimateAutomizer/nested9_true-unreach-call.i_1677.smt2;0.28;  unsat;0.21;  unsat;0.0; unsat;0.01; unsat;0.01; sat; unsat;1.1;TO;TO;0.17;  unsat
